date,unit_net,acc_net,daily_change
2024-03-08,0.5564,0.5564,1.64
2024-03-11,0.6019,0.6019,8.18
2024-03-12,0.6042,0.6042,0.38
2024-03-13,0.6013,0.6013,-0.48
2024-03-14,0.5945,0.5945,-1.13
2024-03-15,0.5934,0.5934,-0.19
2024-03-18,0.6105,0.6105,2.88
2024-03-19,0.6041,0.6041,-1.05
2024-03-20,0.604,0.604,-0.02
2024-03-21,0.597,0.597,-1.16
2024-03-22,0.5823,0.5823,-2.46
2024-03-25,0.5709,0.5709,-1.96
2024-03-26,0.5875,0.5875,2.91
2024-03-27,0.5666,0.5666,-3.56
2024-03-28,0.5739,0.5739,1.29
2024-03-29,0.579,0.579,0.89
2024-04-01,0.6014,0.6014,3.87
2024-04-02,0.6089,0.6089,1.25
2024-04-03,0.6023,0.6023,-1.08
2024-04-08,0.5885,0.5885,-2.29
2024-04-09,0.6087,0.6087,3.43
2024-04-10,0.598,0.598,-1.76
2024-04-11,0.5958,0.5958,-0.37
2024-04-12,0.5762,0.5762,-3.29
2024-04-15,0.5835,0.5835,1.27
2024-04-16,0.5613,0.5613,-3.8
2024-04-17,0.5755,0.5755,2.53
2024-04-18,0.5732,0.5732,-0.4
2024-04-19,0.5592,0.5592,-2.44
2024-04-22,0.5509,0.5509,-1.48
2024-04-23,0.5514,0.5514,0.09
2024-04-24,0.5508,0.5508,-0.11
2024-04-25,0.5557,0.5557,0.89
2024-04-26,0.567,0.567,2.03
2024-04-29,0.5935,0.5935,4.67
2024-04-30,0.5831,0.5831,-1.75
2024-05-06,0.6002,0.6002,2.93
2024-05-07,0.6002,0.6002,0.0
2024-05-08,0.5868,0.5868,-2.23
2024-05-09,0.6062,0.6062,3.31
2024-05-10,0.5962,0.5962,-1.65
2024-05-13,0.586,0.586,-1.71
2024-05-14,0.582,0.582,-0.68
2024-05-15,0.5793,0.5793,-0.46
2024-05-16,0.5787,0.5787,-0.1
2024-05-17,0.5855,0.5855,1.18
2024-05-20,0.5839,0.5839,-0.27
2024-05-21,0.5784,0.5784,-0.94
2024-05-22,0.591,0.591,2.18
2024-05-23,0.5772,0.5772,-2.34
2024-05-24,0.5676,0.5676,-1.66
2024-05-27,0.5705,0.5705,0.51
2024-05-28,0.5647,0.5647,-1.02
2024-05-29,0.5717,0.5717,1.24
2024-05-30,0.5708,0.5708,-0.16
2024-05-31,0.57,0.57,-0.14
2024-06-03,0.5697,0.5697,-0.05
2024-06-04,0.5815,0.5815,2.07
2024-06-05,0.5797,0.5797,-0.31
2024-06-06,0.5671,0.5671,-2.17
2024-06-07,0.5549,0.5549,-2.15
2024-06-11,0.5567,0.5567,0.32
2024-06-12,0.5546,0.5546,-0.38
2024-06-13,0.5557,0.5557,0.2
2024-06-14,0.551,0.551,-0.85
2024-06-17,0.5625,0.5625,2.09
2024-06-18,0.5639,0.5639,0.25
2024-06-19,0.5534,0.5534,-1.86
2024-06-20,0.5425,0.5425,-1.97
2024-06-21,0.5382,0.5382,-0.79
2024-06-24,0.5279,0.5279,-1.91
2024-06-25,0.5191,0.5191,-1.67
2024-06-26,0.5273,0.5273,1.58
2024-06-27,0.5161,0.5161,-2.12
2024-06-28,0.5112,0.5112,-0.95
2024-06-30,0.5111,0.5111,-0.02
2024-07-01,0.5103,0.5103,-0.16
2024-07-02,0.5041,0.5041,-1.21
2024-07-03,0.504,0.504,-0.02
2024-07-04,0.4971,0.4971,-1.37
2024-07-05,0.4975,0.4975,0.08
2024-07-08,0.486,0.486,-2.31
2024-07-09,0.492,0.492,1.23
2024-07-10,0.4894,0.4894,-0.53
2024-07-11,0.5064,0.5064,3.47
2024-07-12,0.512,0.512,1.11
2024-07-15,0.5082,0.5082,-0.74
2024-07-16,0.5207,0.5207,2.46
2024-07-17,0.5178,0.5178,-0.56
2024-07-18,0.5242,0.5242,1.24
2024-07-19,0.528,0.528,0.72
2024-07-22,0.5267,0.5267,-0.25
2024-07-23,0.5132,0.5132,-2.56
2024-07-24,0.5044,0.5044,-1.71
2024-07-25,0.5095,0.5095,1.01
2024-07-26,0.5154,0.5154,1.16
2024-07-29,0.5049,0.5049,-2.04
2024-07-30,0.5044,0.5044,-0.1
2024-07-31,0.5194,0.5194,2.97
2024-08-01,0.5127,0.5127,-1.29
2024-08-02,0.5046,0.5046,-1.58
2024-08-05,0.4966,0.4966,-1.59
2024-08-06,0.5066,0.5066,2.01
2024-08-07,0.5051,0.5051,-0.3
2024-08-08,0.501,0.501,-0.81
2024-08-09,0.4949,0.4949,-1.22
2024-08-12,0.491,0.491,-0.79
2024-08-13,0.4968,0.4968,1.18
2024-08-14,0.4885,0.4885,-1.67
2024-08-15,0.4923,0.4923,0.78
2024-08-16,0.4867,0.4867,-1.14
2024-08-19,0.4852,0.4852,-0.31
2024-08-20,0.4793,0.4793,-1.22
2024-08-21,0.4815,0.4815,0.46
2024-08-22,0.4784,0.4784,-0.64
