日期,单位净值,累计净值,涨跌幅
2024-08-05,1.42,1.42,-3.33
2024-08-06,1.4368,1.4368,1.18
2024-08-07,1.4027,1.4027,-2.37
2024-08-08,1.4549,1.4549,3.72
2024-08-09,1.4636,1.4636,0.6
2024-08-12,1.4698,1.4698,0.42
2024-08-13,1.5206,1.5206,3.46
2024-08-14,1.5158,1.5158,-0.32
2024-08-15,1.5675,1.5675,3.41
2024-08-16,1.575,1.575,0.48
2024-08-19,1.5989,1.5989,1.52
2024-08-20,1.585,1.585,-0.87
2024-08-21,1.5976,1.5976,0.79
2024-08-22,1.5624,1.5624,-2.2
2024-08-23,1.5977,1.5977,2.26
2024-08-26,1.5667,1.5667,-1.94
2024-08-27,1.57,1.57,0.21
2024-08-28,1.531,1.531,-2.48
2024-08-29,1.5331,1.5331,0.14
2024-08-30,1.5556,1.5556,1.47
2024-09-02,1.5534,1.5534,-0.14
2024-09-03,1.5034,1.5034,-3.22
2024-09-04,1.5069,1.5069,0.23
2024-09-05,1.5277,1.5277,1.38
2024-09-06,1.4735,1.4735,-3.55
2024-09-09,1.5116,1.5116,2.59
2024-09-10,1.5317,1.5317,1.33
2024-09-11,1.5791,1.5791,3.09
2024-09-12,1.5931,1.5931,0.89
2024-09-13,1.6041,1.6041,0.69
2024-09-18,1.5787,1.5787,-1.58
2024-09-19,1.638,1.638,3.76
2024-09-20,1.6252,1.6252,-0.78
2024-09-23,1.6302,1.6302,0.31
2024-09-24,1.6555,1.6555,1.55
2024-09-25,1.6458,1.6458,-0.59
2024-09-26,1.6518,1.6518,0.36
2024-09-27,1.6526,1.6526,0.05
2024-09-30,1.6656,1.6656,0.79
2024-10-08,1.6948,1.6948,1.75
2024-10-09,1.6988,1.6988,0.24
2024-10-10,1.6988,1.6988,0.0
2024-10-11,1.6919,1.6919,-0.41
2024-10-14,1.6926,1.6926,0.04
2024-10-15,1.6824,1.6824,-0.6
2024-10-16,1.6925,1.6925,0.6
2024-10-17,1.6856,1.6856,-0.41
2024-10-18,1.7015,1.7015,0.94
2024-10-21,1.7023,1.7023,0.05
2024-10-22,1.7128,1.7128,0.62
2024-10-23,1.6824,1.6824,-1.77
2024-10-24,1.7084,1.7084,1.55
2024-10-25,1.7247,1.7247,0.95
2024-10-28,1.7409,1.7409,0.94
2024-10-29,1.7566,1.7566,0.9
2024-10-30,1.7284,1.7284,-1.61
2024-10-31,1.6797,1.6797,-2.82
2024-11-01,1.682,1.682,0.14
2024-11-04,1.6756,1.6756,-0.38
2024-11-05,1.7047,1.7047,1.74
2024-11-06,1.7449,1.7449,2.36
2024-11-07,1.8009,1.8009,3.21
2024-11-08,1.7986,1.7986,-0.13
2024-11-11,1.8113,1.8113,0.71
2024-11-12,1.7962,1.7962,-0.83
2024-11-13,1.7896,1.7896,-0.37
2024-11-14,1.7716,1.7716,-1.01
2024-11-15,1.7424,1.7424,-1.65
2024-11-18,1.7646,1.7646,1.27
2024-11-19,1.792,1.792,1.55
2024-11-20,1.7831,1.7831,-0.5
2024-11-21,1.7877,1.7877,0.26
2024-11-22,1.7979,1.7979,0.57
2024-11-25,1.7954,1.7954,-0.14
2024-11-26,1.7944,1.7944,-0.06
2024-11-27,1.7836,1.7836,-0.6
2024-11-28,1.7816,1.7816,-0.11
2024-11-29,1.7987,1.7987,0.96
2024-12-02,1.8386,1.8386,2.22
2024-12-03,1.8519,1.8519,0.72
2024-12-04,1.8988,1.8988,2.53
2024-12-05,1.8941,1.8941,-0.25
2024-12-06,1.9199,1.9199,1.36
2024-12-09,1.9066,1.9066,-0.69
2024-12-10,1.8907,1.8907,-0.83
2024-12-11,1.9298,1.9298,2.07
2024-12-12,1.9147,1.9147,-0.78
2024-12-13,1.9526,1.9526,1.98
2024-12-16,1.9902,1.9902,1.93
2024-12-17,1.9744,1.9744,-0.79
2024-12-18,1.8989,1.8989,-3.82
2024-12-19,1.9002,1.9002,0.07
2024-12-20,1.9132,1.9132,0.68
2024-12-23,1.9359,1.9359,1.19
2024-12-24,1.9703,1.9703,1.78
2024-12-25,1.97,1.97,-0.02
2024-12-26,1.9675,1.9675,-0.13
2024-12-27,1.9301,1.9301,-1.9
2024-12-30,1.9045,1.9045,-1.33
2024-12-31,1.88,1.88,-1.29
2025-01-02,1.8782,1.8782,-0.1
2025-01-03,1.9111,1.9111,1.75
2025-01-06,1.9441,1.9441,1.73
2025-01-07,1.9,1.9,-2.27
2025-01-08,1.8957,1.8957,-0.23
2025-01-09,1.8956,1.8956,-0.01
2025-01-10,1.8643,1.8643,-1.65
2025-01-13,1.8555,1.8555,-0.47
2025-01-14,1.8428,1.8428,-0.68
2025-01-15,1.8908,1.8908,2.6
2025-01-16,1.8765,1.8765,-0.76
2025-01-17,1.9137,1.9137,1.98
2025-01-20,1.9133,1.9133,-0.02
2025-01-21,1.9149,1.9149,0.08
2025-01-22,1.9466,1.9466,1.66
2025-01-23,1.9536,1.9536,0.36
2025-01-24,1.9464,1.9464,-0.37
2025-01-27,1.8509,1.8509,-4.91
2025-02-05,1.9045,1.9045,2.9
2025-02-06,1.9242,1.9242,1.03
2025-02-07,1.9025,1.9025,-1.13
2025-02-10,1.9357,1.9357,1.75
2025-02-11,1.9123,1.9123,-1.21
2025-02-12,1.9173,1.9173,0.26
2025-02-13,1.9402,1.9402,1.19
2025-02-14,1.9757,1.9757,1.83
2025-02-17,1.9753,1.9753,-0.02
2025-02-18,1.9791,1.9791,0.19
2025-02-19,1.9909,1.9909,0.6
2025-02-20,1.9642,1.9642,-1.34
2025-02-21,1.9073,1.9073,-2.9
2025-02-24,1.8652,1.8652,-2.21
2025-02-25,1.8175,1.8175,-2.56
2025-02-26,1.8412,1.8412,1.3
2025-02-27,1.7642,1.7642,-4.18
2025-02-28,1.7943,1.7943,1.71
2025-03-03,1.7218,1.7218,-4.04
2025-03-04,1.7215,1.7215,-0.02
2025-03-05,1.7486,1.7486,1.57
2025-03-06,1.6597,1.6597,-5.08
2025-03-07,1.6714,1.6714,0.7
2025-03-10,1.5862,1.5862,-5.1
2025-03-11,1.6123,1.6123,1.65
2025-03-12,1.6496,1.6496,2.31
2025-03-13,1.6026,1.6026,-2.85
2025-03-14,1.6486,1.6486,2.87
2025-03-17,1.6475,1.6475,-0.07
2025-03-18,1.605,1.605,-2.58
2025-03-19,1.6366,1.6366,1.97
2025-03-20,1.6274,1.6274,-0.56
2025-03-21,1.6466,1.6466,1.18
2025-03-24,1.6899,1.6899,2.63
2025-03-25,1.701,1.701,0.66
2025-03-26,1.6402,1.6402,-3.57
2025-03-27,1.6204,1.6204,-1.21
2025-03-28,1.5728,1.5728,-2.94
2025-03-31,1.5688,1.5688,-0.25
2025-04-01,1.5882,1.5882,1.24
2025-04-02,1.6056,1.6056,1.1
2025-04-03,1.4986,1.4986,-6.66
2025-04-07,1.4219,1.4219,-5.12
2025-04-08,1.3954,1.3954,-1.86
2025-04-09,1.5966,1.5966,14.42
2025-04-10,1.5114,1.5114,-5.34
2025-04-11,1.5403,1.5403,1.91
2025-04-14,1.5396,1.5396,-0.05
2025-04-15,1.5465,1.5465,0.45
2025-04-16,1.4969,1.4969,-3.21
2025-04-17,1.4899,1.4899,-0.47
2025-04-18,1.4895,1.4895,-0.03
2025-04-21,1.4486,1.4486,-2.75
2025-04-22,1.4936,1.4936,3.11
2025-04-23,1.5454,1.5454,3.47
2025-04-24,1.6032,1.6032,3.74
2025-04-25,1.6346,1.6346,1.96
2025-04-28,1.6436,1.6436,0.55
2025-04-29,1.6453,1.6453,0.1
2025-04-30,1.6279,1.6279,-1.06
2025-05-06,1.655,1.655,1.66
2025-05-07,1.6548,1.6548,-0.01
2025-05-08,1.6834,1.6834,1.73
2025-05-09,1.6897,1.6897,0.37
2025-05-12,1.7723,1.7723,4.89
2025-05-13,1.8157,1.8157,2.45
2025-05-14,1.848,1.848,1.78
2025-05-15,1.8316,1.8316,-0.89
2025-05-16,1.843,1.843,0.62
2025-05-19,1.8371,1.8371,-0.32
2025-05-20,1.8258,1.8258,-0.62
2025-05-21,1.8073,1.8073,-1.01
2025-05-22,1.8172,1.8172,0.55
2025-05-23,1.7938,1.7938,-1.29
2025-05-26,1.7914,1.7914,-0.13
2025-05-27,1.8475,1.8475,3.13
2025-05-28,1.8455,1.8455,-0.11
2025-05-29,1.8469,1.8469,0.08
2025-05-30,1.8312,1.8312,-0.85
2025-06-03,1.8702,1.8702,2.13
2025-06-04,1.8914,1.8914,1.13
2025-06-05,1.8502,1.8502,-2.18
2025-06-06,1.8666,1.8666,0.89
2025-06-09,1.8775,1.8775,0.58
2025-06-10,1.8918,1.8918,0.76
2025-06-11,1.8878,1.8878,-0.21
